name,description,school,type
Wisp of Light,"Summon a shimmering, floating speck of light that lasts for 8 hours, increasing your light level to Glowing light. The wisp is tethered to the caster but can be positioned up to 5 meters away at will. The caster may spend additional spell points during the spell’s lifetime to adjust the light. Each spell point allows the caster to increase or decrease the light level by 1.",fire,fire
Kindle,"Ignite a flickering ember at the caster’s fingertips, lasting for 10 seconds—enough to set dry wood ablaze.",fire,fire
Cauterize Wound,"Seal a bleeding wound with a burst of searing heat, restoring one lost life if cast immediately after combat. Only 1 life can be healed like this after combat.",fire,fire
Melt Ice,"Unleash a wave of heat to melt a 2x2 meter block of ice. Additional spell points double the area affected: 4x4, 8x8, 16x16, etc.",fire,fire
Coldward,"Create an invisible warmth, nullifying all cold effects, magical or otherwise, within a 2-meter radius for 2 hours. Additional spell points increase the radius by 2 meters per point.",fire,fire
Flaming Armament,"Engulf a weapon in roaring flames for 1 hour or until the end of the next combat. The weapon’s attacks are considered Fire attacks and grant an additional +1 brawn attack.",fire,fire
Ice Bridge,"Conjure a sleek, frost-bound bridge spanning 5 meters in length and 1 meter in width, lasting for 1 hour. Additional spell points extend its length by 2 meters per point.",frost,cold
Icy Armament,"Encase a weapon in a layer of biting frost, imbuing it with a chilling aura. The weapon’s attacks are considered Cold attacks and grant an additional +1 brawn attack. This effect lasts for 1 hour or until the end of the next combat.",frost,cold
Extinguish,"Summon a gust of icy force to snuff out flames. At its base level, it can quench a burning shed, with additional spell points increasing the size of the fire extinguished at the GM’s discretion.",frost,cold
Mist,"Create mist from the caster’s hand, which reaches 10 meters from their position, obscuring vision for 10 minutes. Additional spell points increase the distance the mist travels by 5 meters each.",water,cold
Underwater Breathing,"A spell that allows any creature touched by the caster to breathe underwater for 1 hour.",water,cold
Puddle Shape,"Allows the caster to take the shape of a puddle of water for 1 hour, or until they wish to break the spell.",water,cold
Cure,"This spell allows the caster to purify any common malady from a creature they touch. The spell may also be used on bodies of water to purify them, unless the source of the taint is sentient.",water,cold
Raise Wall,"Raise an earthen wall at a target tile. The wall is solid and will remain on the tile for 1 day, after which it loses integrity and crumbles. The wall can be dismantled with a pickaxe or shovel without negative consequences; doing so with a weapon degrades it, and doing it by hand results in an Injury. Additional spell points increase the duration of the wall by 1 day.",earth,primal
Crumble,"Reduce rubble (not solid stone or walls) to dust.",earth,primal
Pass Through Stone,"Phase through solid stone, earth, wood, iron, or ice for up to 3 meters. The caster must move continuously and may turn to avoid impassable matter. If the effect ends while inside solid material, the caster dies. Additional spell points extend the distance by 1 meter per point.",earth,primal
Tripwire,"Weave an invisible arcane tripwire that mentally alerts the caster when triggered. The caster can designate up to five species that cannot trigger it. The tripwire spans between two solid objects up to 20 meters apart and lasts for 24 hours if untriggered.",arcane,spirit
Unbound Eye,"Detach and animate an eyeball, allowing it to drift through the air at 10 meters per second. The caster sees through the dislodged eye but can only move either their main body or the eye at a given time. The spell lasts 5 minutes, after which the eye must return to its socket or falls to the ground. If lost, the eyeball regrows in a week.",arcane,spirit
Unearth Leyline,"Crack open the earth to reveal a shimmering leyline at a specific location. Any spellcaster standing on this tile during combat gains +1 to their Magic stat. The leyline dissipates after one hour or the end of combat.",arcane,spirit
Telepathy,"Creates a telepathic link between two adventurers which remains open for 1 hour. If one of the adventurers dies during this time, the other one is stunned.",arcane,spirit
Calm Animal,"Soothe a single frenzied beast with ancient whispers, preventing it from attacking the caster or their companions unless provoked.",shaman,primal
Sense Predator,"When cast, the shaman senses the presence of nearby predators or otherwise dangerous animals. The shaman will know of any predators within 20 meters of their position for 1 hour, or the end of the next combat.",shaman,primal
Nature’s Bounty,"Call forth nature’s generosity, causing the ground to sprout berries, fruits, and mushrooms with healing properties. Can only be cast during Rests or when Camping, healing 1 life for 1 character. Additional spell points increase the number of affected characters.",shaman,primal
Spirit Memory,"Stir the echoes of the past, invoking spirits to create a spectral image of the last event that took place in a room.",shaman,primal
Ancestral Armor,"Wrap an ally in ethereal protection, shielding them from maladies which would affect them. Lasts for 1 hour or until the end of the next combat",shaman,primal
Insect swarm,"Summons a swarm of poisonous and disease bearing insects, which can be directed to swarm an area no bigger than a 3 meter radius known to the caster for 5 minutes. The caster may decide if the insects should transmit redeye or nausea. The insects will afflict one random creature within the insect swarm with the chosen malady per spell point spent on the spell.",shaman,primal
Mark of Heresy,"Etch an ominous sigil upon a willing or restrained creature, branding them as accursed. The mark lasts 24 hours, causes the creature to suffer an Injury, and the caster always knows their location during this time.",heretic,spirit
Poison Water,"Corrupt a flowing water source with a foul, insidious taint. The water remains poisoned for 24 hours, causing any creature drinking from it to suffer the poison malady.",heretic,spirit
Anti-Miracle,"Shroud the area in a blasphemous void, nullifying all miracle magic within a 20-meter radius for 1 hour.",heretic,spirit
Raise Dead,"Bring a soul back from the afterlife to a corpse to answer three questions.",heretic,spirit
Restoration,"Mend torn flesh with divine energy, restoring 1 life to the target per cast.",miracle,spirit
Water Walking,"Bless a creature with a miraculous gift, allowing them to walk upon water for 4 hours. Water acts as solid ground, causing fall damage if applicable.",miracle,spirit
Sanctuary,"Erect a radiant, protective bubble with a 3-meter radius, lasting 1 hour or until an ally exits. The bubble can absorb 3 lives of damage in one round before breaking. It has 10 points in every stat and always defends. Additional spell points increase its Melee, Ranged, and Magic stats by 2 each.",miracle,spirit
Goblin Bravery,"Rouse the courage of goblins within 10 meters, making them fearless for 1 hour or until the end of the next combat.",goblin,spirit
Visions,"Peer through the veils of time, sensing any intruders the caster will encounter within the next hour. Can only be cast within the goblin’s own domain.",goblin,spirit
Dark advance,"Shrouds yourself or a single companion in shadow, making them appear as one for 10 minutes or the start of the next combat. Any enemies who rely on sight for perception will have a hard time noticing the shadowy figure. If looked upon, the shadowy figure can be as close as the enemy's Magic stat in meters before they notice it as more than a shadow. If the shadow attacks before being noticed they will have advantage on Initiative and in the first Clash.",shadow,spirit
Poisoned armaments,"Coats a weapon in poison for 1 hour or until the end of the next combat.  The weapon’s attacks grant an additional +1 brawn, and cause damaged enemies to suffer poison. This effect lasts for 1 hour or until the end of the next combat.",shadow,spirit
Dim lighting,"Reduces all light within 10 meters of the caster by one level for 1 for 30 minutes. Additional spell points can be spent to double the range of the effect, causing the range to increase exponentially with each point spent.",shadow,spirit